Name_Station,Latitude_Station,Longitude_Station,Number_Of_Bikes,Venue_Name,Venue_Address,Venue_Distance,Venue_Phone,Venue_Rating,Venue_Price,Venue_Review_Count,Venue_URL,Venue_Subcategory,Venue_Category
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Club Quarters Grand Central,1,766.4687314035328,1,4.0,2,114,1.0,Hotels,hotel
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Best Western Plus Hospitality House,1,525.3180119054384,1,4.0,2,37,1.0,Hotels,hotel
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,The Peninsula New York,1,1075.4434500620391,1,3.9,4,212,1.0,Hotels,hotel
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Kimberly Hotel,1,483.1261675461184,1,3.9,3,213,1.0,Hotels,hotel
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Omni Berkshire Hotel,1,889.6857185530043,1,3.9,3,263,1.0,Hotels,hotel
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,The Lombardy,1,732.6320105860405,1,3.9,3,63,1.0,Hotels,hotel
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Fitzpatrick Manhattan Hotel,1,664.893022976142,1,3.9,3,87,1.0,Hotels,hotel
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Lotte New York Palace,1,831.3245987877451,1,3.8,3,527,1.0,Hotels,hotel
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Fitzpatrick Grand Central Hotel,1,789.7245468533783,1,3.8,2,112,1.0,Hotels,hotel
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Reverie,1,318.7413923873103,1,5.0,2,15,1.0,Jewelry,shopping
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Hide N Go Sleep Murphy Beds,1,1171.9645938683352,1,5.0,2,16,1.0,Furniture Stores,shopping
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Q the Stylist,0,570.6938167098136,1,5.0,2,19,1.0,Personal Shopping,shopping
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,McNally Jackson,1,1055.585834734587,0,4.9,2,9,1.0,Bookstores,shopping
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,madonna &,1,736.1420327978557,1,4.8,3,24,1.0,Women's Clothing,shopping
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Turtle Bay Chemists,1,351.5274676519484,1,4.7,2,18,0.0,Drugstores,shopping
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Galleria On Third,1,342.4073396524171,1,4.7,2,62,1.0,Art Galleries,shopping
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Illume,1,611.7885752598283,1,4.6,3,28,1.0,Home Decor,shopping
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Illisa's Vintage Lingerie,1,318.7413923873103,1,4.5,3,8,0.0,Lingerie,shopping
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Katagiri Japanese Grocery,1,1059.4145378932403,1,4.4,2,205,1.0,Convenience Stores,shopping
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Quest Bookshop,1,262.13199725105653,1,4.4,2,35,1.0,Bookstores,shopping
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Trader Joe's,1,611.000823560258,1,4.3,2,70,1.0,Grocery,shopping
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Mikimoto,1,1102.9683112257048,1,4.3,4,23,1.0,Jewelry,shopping
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Argosy Book Store,1,855.1788020592069,1,4.2,3,74,1.0,Antiques,shopping
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Chartwell Booksellers,1,794.1932132096049,1,4.2,2,5,1.0,Bookstores,shopping
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Tia's,1,940.9228654994608,1,4.2,2,6,0.0,Jewelry,shopping
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Just Shades,1,622.0809759350553,1,4.1,3,37,1.0,Home Decor,shopping
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Goodman's Cafe,1,1146.7232379952177,1,4.1,2,16,1.0,Cosmetics & Beauty Supply,shopping
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,MTC Kitchen,1,661.4643568445615,1,4.1,2,32,1.0,Wholesale Stores,shopping
